,year,sex,suicides_no,suicides_no,suicides_no,suicides_no,suicides_no,suicides_no
age,,,15-24 years,25-34 years,35-54 years,5-14 years,55-74 years,75+ years
0,1989,female,75.0,67.0,237.0,6.0,189.0,69.0
1,1989,male,197.0,333.0,734.0,14.0,470.0,138.0
2,1990,female,69.0,57.0,167.0,3.0,196.0,64.0
3,1990,male,177.0,210.0,607.0,19.0,413.0,97.0
4,1991,female,52.0,60.0,161.0,2.0,183.0,65.0
5,1991,male,152.0,229.0,645.0,15.0,487.0,110.0
6,1992,female,65.0,58.0,188.0,4.0,189.0,69.0
7,1992,male,235.0,282.0,807.0,13.0,610.0,130.0
8,1993,female,57.0,51.0,194.0,2.0,217.0,62.0
9,1993,male,197.0,326.0,943.0,17.0,607.0,101.0
10,1994,female,57.0,61.0,190.0,5.0,221.0,55.0
11,1994,male,222.0,329.0,993.0,21.0,608.0,125.0
12,1995,female,49.0,65.0,191.0,4.0,193.0,35.0
13,1995,male,223.0,323.0,1021.0,11.0,579.0,99.0
14,1996,female,37.0,42.0,177.0,2.0,196.0,39.0
15,1996,male,234.0,302.0,1059.0,15.0,615.0,110.0
16,1997,female,48.0,41.0,172.0,4.0,173.0,46.0
17,1997,male,207.0,369.0,1052.0,16.0,622.0,109.0
18,1998,female,54.0,52.0,175.0,0.0,168.0,39.0
19,1998,male,176.0,332.0,1082.0,19.0,616.0,125.0
20,1999,female,47.0,51.0,163.0,4.0,183.0,53.0
21,1999,male,195.0,322.0,945.0,35.0,613.0,125.0
22,2000,female,32.0,58.0,179.0,6.0,171.0,65.0
23,2000,male,188.0,364.0,978.0,23.0,658.0,114.0
24,2001,female,31.0,36.0,138.0,5.0,178.0,54.0
25,2001,male,185.0,371.0,1043.0,26.0,540.0,113.0
26,2002,female,38.0,58.0,175.0,11.0,187.0,59.0
27,2002,male,198.0,375.0,1138.0,35.0,651.0,142.0
28,2003,female,45.0,36.0,188.0,8.0,176.0,55.0
29,2003,male,157.0,349.0,1069.0,22.0,662.0,127.0
30,2004,female,33.0,49.0,130.0,3.0,174.0,55.0
31,2004,male,166.0,311.0,999.0,27.0,646.0,127.0
32,2005,female,28.0,34.0,146.0,4.0,187.0,71.0
33,2005,male,153.0,289.0,943.0,16.0,597.0,135.0
34,2006,female,33.0,36.0,160.0,1.0,188.0,63.0
35,2006,male,151.0,296.0,996.0,18.0,643.0,136.0
36,2007,female,24.0,45.0,159.0,7.0,144.0,67.0
37,2007,male,136.0,250.0,851.0,13.0,596.0,138.0
38,2008,female,30.0,38.0,133.0,7.0,175.0,63.0
39,2008,male,174.0,235.0,840.0,17.0,604.0,156.0
40,2009,female,39.0,32.0,131.0,10.0,124.0,53.0
41,2009,male,163.0,275.0,940.0,14.0,646.0,159.0
42,2010,female,38.0,36.0,147.0,5.0,177.0,59.0
43,2010,male,177.0,263.0,995.0,11.0,704.0,154.0
44,2011,female,30.0,30.0,117.0,3.0,152.0,62.0
45,2011,male,186.0,233.0,896.0,16.0,668.0,143.0
46,2012,female,27.0,32.0,112.0,5.0,135.0,42.0
47,2012,male,156.0,253.0,903.0,11.0,667.0,152.0
48,2013,female,22.0,29.0,119.0,6.0,135.0,53.0
49,2013,male,134.0,237.0,830.0,8.0,676.0,158.0
50,2014,female,14.0,18.0,91.0,3.0,138.0,58.0
51,2014,male,125.0,230.0,705.0,11.0,644.0,172.0
52,2015,female,15.0,24.0,104.0,4.0,129.0,66.0
53,2015,male,123.0,198.0,734.0,11.0,631.0,189.0
54,2016,female,14.0,27.0,96.0,,112.0,61.0
55,2016,male,91.0,134.0,632.0,,615.0,171.0
